o;o_label;o_synonym
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;cornu ammonis 1
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;CA1 field of the hippocampus
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;CA1 field of the Ammon horn
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;CA1 field of cornu ammonis
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;CA1 field of Ammon's horn
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;CA1 field
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;CA1 field of hippocampus
http://purl.obolibrary.org/obo/UBERON_0003881;CA1 field of hippocampus;CA1
http://purl.obolibrary.org/obo/UBERON_0003882;CA2 field of hippocampus;region II of hippocampus proper
http://purl.obolibrary.org/obo/UBERON_0003882;CA2 field of hippocampus;region II of ammon's horn
http://purl.obolibrary.org/obo/UBERON_0003882;CA2 field of hippocampus;region CA2
http://purl.obolibrary.org/obo/UBERON_0003882;CA2 field of hippocampus;region 2 of Ammon's horn
http://purl.obolibrary.org/obo/UBERON_0003882;CA2 field of hippocampus;regio ii hippocampi proprii
http://purl.obolibrary.org/obo/UBERON_0003882;CA2 field of hippocampus;regio ii cornus ammonis
http://purl.obolibrary.org/obo/UBERON_0003882;CA2 field of hippocampus;hippocampus CA2
http://purl.obolibrary.org/obo/UBERON_0003882;CA2 field of hippocampus;field CA2, Ammon's horn (Lorente de Ns)
http://purl.obolibrary.org/obo/UBERON_0003882;CA2 field of hippocampus;field CA2 of hippocampus
http://purl.obolibrary.org/obo/UBERON_0003882;CA2 field of hippocampus;field CA2
http://purl.obolibrary.org/obo/UBERON_0003882;CA2 field of hippocampus;cornu Ammonis 2
http://purl.obolibrary.org/obo/UBERON_0003882;CA2 field of hippocampus;CA2 field of the hippocampus
http://purl.obolibrary.org/obo/UBERON_0003882;CA2 field of hippocampus;CA2 field of the Ammon horn
http://purl.obolibrary.org/obo/UBERON_0003882;CA2 field of hippocampus;CA2 field of cornu ammonis
http://purl.obolibrary.org/obo/UBERON_0003882;CA2 field of hippocampus;CA2 field of Ammon's horn
http://purl.obolibrary.org/obo/UBERON_0003882;CA2 field of hippocampus;CA2 field
http://purl.obolibrary.org/obo/UBERON_0003882;CA2 field of hippocampus;CA2 field of hippocampus
http://purl.obolibrary.org/obo/UBERON_0003882;CA2 field of hippocampus;CA2
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;region III of hippocampus proper
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;region III of ammon's horn
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;region CA3
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;region 3 of Ammon's horn
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;regio inferior
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;regio III hippocampi proprii
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;regio III cornus ammonis
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;regio hippocampi proprii III
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;hippocampus CA3
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;field CA3, Ammon's horn (Lorente de Ns)
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;field CA3 of hippocampus
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;field CA3
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;cornu Ammonis 3
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;CA3 field of the hippocampus
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;CA3 field of the Ammon horn
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;CA3 field of cornu ammonis
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;CA3 field of Ammon's horn
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;CA3 field
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;CA3 field of hippocampus
http://purl.obolibrary.org/obo/UBERON_0003883;CA3 field of hippocampus;CA3
http://purl.obolibrary.org/obo/UBERON_0003943;fourth lumbar dorsal root ganglion;L4 ganglion
http://purl.obolibrary.org/obo/UBERON_0003943;fourth lumbar dorsal root ganglion;L4 dorsal root ganglion
http://purl.obolibrary.org/obo/UBERON_0003943;fourth lumbar dorsal root ganglion;fourth lumbar spinal ganglion
http://purl.obolibrary.org/obo/UBERON_0003943;fourth lumbar dorsal root ganglion;forth lumbar dorsal root ganglion
http://purl.obolibrary.org/obo/UBERON_0003943;fourth lumbar dorsal root ganglion;fourth lumbar dorsal root ganglion
http://purl.obolibrary.org/obo/UBERON_0003962;pterygopalatine ganglion;sphenopalatine parasympathetic ganglion
http://purl.obolibrary.org/obo/UBERON_0003962;pterygopalatine ganglion;sphenopalatine ganglion
http://purl.obolibrary.org/obo/UBERON_0003962;pterygopalatine ganglion;pterygopalatine ganglia
http://purl.obolibrary.org/obo/UBERON_0003962;pterygopalatine ganglion;palatine ganglion
http://purl.obolibrary.org/obo/UBERON_0003962;pterygopalatine ganglion;nasal ganglion
http://purl.obolibrary.org/obo/UBERON_0003962;pterygopalatine ganglion;Meckel's ganglion
http://purl.obolibrary.org/obo/UBERON_0003962;pterygopalatine ganglion;Meckel ganglion
http://purl.obolibrary.org/obo/UBERON_0003962;pterygopalatine ganglion;g. pterygopalatinum
http://purl.obolibrary.org/obo/UBERON_0003963;otic ganglion;otic parasympathetic ganglion
http://purl.obolibrary.org/obo/UBERON_0003963;otic ganglion;ganglion oticum
